srno,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerId,Country,InvoiceTimestamp,UUID
3108,536598,21421,PORCELAIN ROSE LARGE,12,2010-12-02T00:00:00.000-08:00,1.25,"",United Kingdom,2010-12-02T07:48:00.000-08:00,2a4add36-7b5d-4348-afd9-31e880bbfa97
3109,536598,21422,PORCELAIN ROSE SMALL,16,2010-12-02T00:00:00.000-08:00,0.85,"",United Kingdom,2010-12-02T07:48:00.000-08:00,eb91734a-3036-47e5-9d0e-648c0f1c440b
3110,536598,22178,VICTORIAN GLASS HANGING T-LIGHT,24,2010-12-02T00:00:00.000-08:00,1.25,"",United Kingdom,2010-12-02T07:48:00.000-08:00,6e5ca1e4-6b94-414e-a374-5053d3b395aa
3111,536598,22617,BAKING SET SPACEBOY DESIGN,24,2010-12-02T00:00:00.000-08:00,4.25,"",United Kingdom,2010-12-02T07:48:00.000-08:00,eb3c0245-11ff-4d20-907d-1ea03a7d9d71
3112,536599,22968,ROSE COTTAGE KEEPSAKE BOX,8,2010-12-02T00:00:00.000-08:00,8.5,"",United Kingdom,2010-12-02T07:49:00.000-08:00,5c12867c-8f28-4ed7-8744-078a33a4be2f
3113,536599,22727,ALARM CLOCK BAKELIKE RED,4,2010-12-02T00:00:00.000-08:00,3.75,"",United Kingdom,2010-12-02T07:49:00.000-08:00,33812d76-de72-41e7-b21d-f163d51a4bce
3114,536599,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-02T00:00:00.000-08:00,3.75,"",United Kingdom,2010-12-02T07:49:00.000-08:00,44c5096d-7137-449f-91c3-5c0e67f86967
3115,536599,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,2010-12-02T00:00:00.000-08:00,0.85,"",United Kingdom,2010-12-02T07:49:00.000-08:00,12333bcd-da2c-49b5-be42-906dd0bf4e82
3116,536599,20749,ASSORTED COLOUR MINI CASES,12,2010-12-02T00:00:00.000-08:00,6.35,"",United Kingdom,2010-12-02T07:49:00.000-08:00,407df6ad-b60e-4d7f-bc9f-089ea64aa208
3117,536599,21056,DOCTOR'S BAG SOFT TOY,8,2010-12-02T00:00:00.000-08:00,8.95,"",United Kingdom,2010-12-02T07:49:00.000-08:00,88eb826f-9c51-4ca3-9708-ececa19ce716
3118,536600,"",WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02T00:00:00.000-08:00,2.55,"",United Kingdom,2010-12-02T08:32:00.000-08:00,27a5b086-3779-4678-86b7-85773f2a132a
3119,536600,71053,WHITE METAL LANTERN,6,2010-12-02T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-02T08:32:00.000-08:00,85135b49-7d24-44d9-abac-ae4604030f5d
3120,536600,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2010-12-02T00:00:00.000-08:00,4.95,"",United Kingdom,2010-12-02T08:32:00.000-08:00,a298ef6d-337b-4f63-ba36-a890da46dc1a
3121,536600,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-12-02T00:00:00.000-08:00,6.95,"",United Kingdom,2010-12-02T08:32:00.000-08:00,3eaaa87e-b7fe-4880-8c10-bbeeeff90f31
3122,536600,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02T00:00:00.000-08:00,2.1,"",United Kingdom,2010-12-02T08:32:00.000-08:00,66d86ef2-7b79-4994-b499-b95160c7fca1
3123,536600,"",WOODEN FRAME ANTIQUE WHITE,6,2010-12-02T00:00:00.000-08:00,2.55,"",United Kingdom,2010-12-02T08:32:00.000-08:00,d9306a8d-dad0-47b6-a6c6-d3af0588e320
3124,536600,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-02T00:00:00.000-08:00,1.65,"",United Kingdom,2010-12-02T08:32:00.000-08:00,266fa393-cc43-40f6-9247-04dc72920b75
3125,536600,"",KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-02T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-02T08:32:00.000-08:00,c66e5ffb-5e6c-4cb5-88dd-9bd4149cf95f
3126,536600,"",RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-02T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-02T08:32:00.000-08:00,406b57e4-5645-4e43-91f6-8ed95556cd4e
